id,year,month,month_name,mode,boardings
24,2019,12,December,metropolitan_tram,13736921
24,2019,12,December,metropolitan_bus,8858522
24,2019,12,December,regional_train,1648394
24,2019,12,December,regional_coach,110447
24,2019,12,December,regional_bus,873469
25,2020,1,January,metropolitan_train,17015987
25,2020,1,January,metropolitan_tram,13396238
25,2020,1,January,metropolitan_bus,8369145
25,2020,1,January,regional_train,1684792
25,2020,1,January,regional_coach,105751
25,2020,1,January,regional_bus,764361
26,2020,2,February,metropolitan_train,19811543
26,2020,2,February,metropolitan_tram,14656787
26,2020,2,February,metropolitan_bus,10407862
26,2020,2,February,regional_train,1771293
26,2020,2,February,regional_coach,99955
26,2020,2,February,regional_bus,1276038
27,2020,3,March,metropolitan_train,13746958
27,2020,3,March,metropolitan_tram,9602985
27,2020,3,March,metropolitan_bus,7600641
27,2020,3,March,regional_train,1252698
27,2020,3,March,regional_coach,74665
27,2020,3,March,regional_bus,947946
28,2020,4,April,metropolitan_train,2165747
28,2020,4,April,metropolitan_tram,1376119
28,2020,4,April,metropolitan_bus,1507175
28,2020,4,April,regional_train,245905
28,2020,4,April,regional_coach,17602
28,2020,4,April,regional_bus,227342
29,2020,5,May,metropolitan_train,3670296
29,2020,5,May,metropolitan_tram,2587250
29,2020,5,May,metropolitan_bus,2539068
29,2020,5,May,regional_train,374640
29,2020,5,May,regional_coach,29670
29,2020,5,May,regional_bus,368116
30,2020,6,June,metropolitan_train,6432121
30,2020,6,June,metropolitan_tram,4080847
30,2020,6,June,metropolitan_bus,4752862
30,2020,6,June,regional_train,580767
30,2020,6,June,regional_coach,51732
30,2020,6,June,regional_bus,763812
31,2020,7,July,metropolitan_train,3963903
31,2020,7,July,metropolitan_tram,2505061
31,2020,7,July,metropolitan_bus,3170618
31,2020,7,July,regional_train,425103
31,2020,7,July,regional_coach,41425
31,2020,7,July,regional_bus,769837
32,2020,8,August,metropolitan_train,1887499
32,2020,8,August,metropolitan_tram,1224017
32,2020,8,August,metropolitan_bus,1793958
32,2020,8,August,regional_train,222256
32,2020,8,August,regional_coach,17890
32,2020,8,August,regional_bus,343285
33,2020,9,September,metropolitan_train,1931257
33,2020,9,September,metropolitan_tram,1245928
33,2020,9,September,metropolitan_bus,2038847
33,2020,9,September,regional_train,257723
33,2020,9,September,regional_coach,23051
33,2020,9,September,regional_bus,380397
34,2020,10,October,metropolitan_train,3388960
34,2020,10,October,metropolitan_tram,2130346
34,2020,10,October,metropolitan_bus,3769166
34,2020,10,October,regional_train,365653
34,2020,10,October,regional_coach,36990
34,2020,10,October,regional_bus,848872
35,2020,11,November,metropolitan_train,6439402
35,2020,11,November,metropolitan_tram,4511166
35,2020,11,November,metropolitan_bus,5795635
35,2020,11,November,regional_train,593115
35,2020,11,November,regional_coach,51260
35,2020,11,November,regional_bus,911034
36,2020,12,December,metropolitan_train,7868276
36,2020,12,December,metropolitan_tram,5995164
36,2020,12,December,metropolitan_bus,5885341
36,2020,12,December,regional_train,894120
36,2020,12,December,regional_coach,74068
36,2020,12,December,regional_bus,666297
37,2021,1,January,metropolitan_train,7231312
37,2021,1,January,metropolitan_tram,5553277
37,2021,1,January,metropolitan_bus,4805284
37,2021,1,January,regional_train,738979
37,2021,1,January,regional_coach,60026
37,2021,1,January,regional_bus,484867
38,2021,2,February,metropolitan_train,7822660
38,2021,2,February,metropolitan_tram,5882295
38,2021,2,February,metropolitan_bus,5617752
38,2021,2,February,regional_train,759259
38,2021,2,February,regional_coach,54099
38,2021,2,February,regional_bus,797454
39,2021,3,March,metropolitan_train,11852314
39,2021,3,March,metropolitan_tram,8750223
39,2021,3,March,metropolitan_bus,7645169
39,2021,3,March,regional_train,1182831
39,2021,3,March,regional_coach,75765
39,2021,3,March,regional_bus,1009127
40,2021,4,April,metropolitan_train,11632636
40,2021,4,April,metropolitan_tram,9123455
40,2021,4,April,metropolitan_bus,6628991
40,2021,4,April,regional_train,1199886
40,2021,4,April,regional_coach,75002
40,2021,4,April,regional_bus,697503
41,2021,5,May,metropolitan_train,11375712
41,2021,5,May,metropolitan_tram,8761433
41,2021,5,May,metropolitan_bus,6962665
41,2021,5,May,regional_train,1117254
41,2021,5,May,regional_coach,66206
41,2021,5,May,regional_bus,811685
42,2021,6,June,metropolitan_train,6321515
42,2021,6,June,metropolitan_tram,4557256
42,2021,6,June,metropolitan_bus,4452322
42,2021,6,June,regional_train,624054
42,2021,6,June,regional_coach,46233
42,2021,6,June,regional_bus,693393
43,2021,7,July,metropolitan_train,7512489
43,2021,7,July,metropolitan_tram,5093722
43,2021,7,July,metropolitan_bus,4722392
43,2021,7,July,regional_train,688891
43,2021,7,July,regional_coach,45599
43,2021,7,July,regional_bus,599227
44,2021,8,August,metropolitan_train,3954587
44,2021,8,August,metropolitan_tram,2686330
44,2021,8,August,metropolitan_bus,3102190
44,2021,8,August,regional_train,444102
44,2021,8,August,regional_coach,33264
44,2021,8,August,regional_bus,707880
45,2021,9,September,metropolitan_train,2769485
45,2021,9,September,metropolitan_tram,1910362
45,2021,9,September,metropolitan_bus,2405774
45,2021,9,September,regional_train,257172
45,2021,9,September,regional_coach,23838
45,2021,9,September,regional_bus,451102
46,2021,10,October,metropolitan_train,3995863
46,2021,10,October,metropolitan_tram,3102681
46,2021,10,October,metropolitan_bus,3435761
46,2021,10,October,regional_train,376222
46,2021,10,October,regional_coach,33948
46,2021,10,October,regional_bus,656824
47,2021,11,November,metropolitan_train,8341146
47,2021,11,November,metropolitan_tram,7034365
47,2021,11,November,metropolitan_bus,6453897
47,2021,11,November,regional_train,759913
47,2021,11,November,regional_coach,55165
47,2021,11,November,regional_bus,855704
48,2021,12,December,metropolitan_train,9127862
48,2021,12,December,metropolitan_tram,8359146
48,2021,12,December,metropolitan_bus,5912880
48,2021,12,December,regional_train,994159
48,2021,12,December,regional_coach,67426
48,2021,12,December,regional_bus,688849
49,2022,1,January,metropolitan_train,5778986
49,2022,1,January,metropolitan_tram,5372999
49,2022,1,January,metropolitan_bus,4124071
49,2022,1,January,regional_train,675856
49,2022,1,January,regional_coach,51750
49,2022,1,January,regional_bus,549859
50,2022,2,February,metropolitan_train,8382008
50,2022,2,February,metropolitan_tram,7962117
50,2022,2,February,metropolitan_bus,6205045
50,2022,2,February,regional_train,865020
50,2022,2,February,regional_coach,57210
50,2022,2,February,regional_bus,985731
51,2022,3,March,metropolitan_train,13045722
51,2022,3,March,metropolitan_tram,11614262
51,2022,3,March,metropolitan_bus,8476974
51,2022,3,March,regional_train,1298156
51,2022,3,March,regional_coach,73664
51,2022,3,March,regional_bus,1060923
52,2022,4,April,metropolitan_train,11890697
52,2022,4,April,metropolitan_tram,10065400
52,2022,4,April,metropolitan_bus,6870377
52,2022,4,April,regional_train,1220454
52,2022,4,April,regional_coach,73735
52,2022,4,April,regional_bus,838558
53,2022,5,May,metropolitan_train,12833409
53,2022,5,May,metropolitan_tram,10150913
53,2022,5,May,metropolitan_bus,7779324
53,2022,5,May,regional_train,1288118
53,2022,5,May,regional_coach,71603
53,2022,5,May,regional_bus,1121794
54,2022,6,June,metropolitan_train,11842624
54,2022,6,June,metropolitan_tram,9590565
54,2022,6,June,metropolitan_bus,6943793
54,2022,6,June,regional_train,1239135
54,2022,6,June,regional_coach,70919
54,2022,6,June,regional_bus,926422
55,2022,7,July,metropolitan_train,12019600
55,2022,7,July,metropolitan_tram,11129287
55,2022,7,July,metropolitan_bus,7332966
55,2022,7,July,regional_train,1314106
55,2022,7,July,regional_coach,75239
55,2022,7,July,regional_bus,975473
56,2022,8,August,metropolitan_train,13095346
56,2022,8,August,metropolitan_tram,12361088
56,2022,8,August,metropolitan_bus,8338393
56,2022,8,August,regional_train,1349992
56,2022,8,August,regional_coach,74401
56,2022,8,August,regional_bus,1098964
57,2022,9,September,metropolitan_train,12936260
57,2022,9,September,metropolitan_tram,11791504
